 
                                                                                                                                                                                                                                                                
 
  PERMNO        date    COMNAM                                 TICKER               PRC           VOL     SHROUT

   14593    20070103    APPLE COMPUTER INC                     AAPL            83.80000      44545733     860220
   14593    20070104    APPLE COMPUTER INC                     AAPL            85.66000      34097551     860220
   14593    20070105    APPLE COMPUTER INC                     AAPL            85.05000      29842335     860220
   14593    20070108    APPLE COMPUTER INC                     AAPL            85.47000      28490191     860220
   14593    20070109    APPLE COMPUTER INC                     AAPL            92.57000     119827814     860220
   14593    20070110    APPLE COMPUTER INC                     AAPL            97.00000     105660143     860220
   14593    20070111    APPLE INC                              AAPL            95.80000      51550184     860220
   14593    20070112    APPLE INC                              AAPL            94.62000      46920920     860220
   14593    20070116    APPLE INC                              AAPL            97.10000      44489274     860220
   14593    20070117    APPLE INC                              AAPL            94.95000      60053850     860220
   14593    20070118    APPLE INC                              AAPL            89.07000      84566630     860220
   14593    20070119    APPLE INC                              AAPL            88.50000      48789206     860220
   14593    20070122    APPLE INC                              AAPL            86.79000      52005857     860220
   14593    20070123    APPLE INC                              AAPL            85.70000      43198158     860220
   14593    20070124    APPLE INC                              AAPL            86.70000      33186526     861875
   14593    20070125    APPLE INC                              AAPL            86.25000      32394129     861875
   14593    20070126    APPLE INC                              AAPL            85.38000      35265530     861875
   14593    20070129    APPLE INC                              AAPL            85.94000      32269617     861875
   14593    20070130    APPLE INC                              AAPL            85.55000      20724817     861875
   14593    20070131    APPLE INC                              AAPL            85.73000      30594170     861875
   14593    20070201    APPLE INC                              AAPL            84.74000      23762229     861875
   14593    20070202    APPLE INC                              AAPL            84.75000      22234448     861875
   14593    20070205    APPLE INC                              AAPL            83.94000      20737742     861875
   14593    20070206    APPLE INC                              AAPL            84.15000      30942175     861875
   14593    20070207    APPLE INC                              AAPL            86.15000      38320972     861875
   14593    20070208    APPLE INC                              AAPL            86.18000      24265950     861875
   14593    20070209    APPLE INC                              AAPL            83.27000      30756328     861875
   14593    20070212    APPLE INC                              AAPL            84.88000      25882055     861875
   14593    20070213    APPLE INC                              AAPL            84.63000      20789841     861875
   14593    20070214    APPLE INC                              AAPL            85.30000      18157443     861875
   14593    20070215    APPLE INC                              AAPL            85.21000      12997117     861875
   14593    20070216    APPLE INC                              AAPL            84.83000      14308642     861875
   14593    20070220    APPLE INC                              AAPL            85.90000      22070251     861875
   14593    20070221    APPLE INC                              AAPL            89.20000      41499945     861875
   14593    20070222    APPLE INC                              AAPL            89.51000      29981556     861875
   14593    20070223    APPLE INC                              AAPL            89.07000      18532199     861875
   14593    20070226    APPLE INC                              AAPL            88.65000      22044891     861875
   14593    20070227    APPLE INC                              AAPL            83.93000      41004407     861875
   14593    20070228    APPLE INC                              AAPL            84.61000      32850000     861875
   14593    20070301    APPLE INC                              AAPL            87.06000      50568882     861875
   14593    20070302    APPLE INC                              AAPL            85.41000      30751061     861875
   14593    20070305    APPLE INC                              AAPL            86.31990      29998978     861875
   14593    20070306    APPLE INC                              AAPL            88.19000      25869393     861875
   14593    20070307    APPLE INC                              AAPL            87.72000      22511894     861875
   14593    20070308    APPLE INC                              AAPL            88.00000      18287614     861875
   14593    20070309    APPLE INC                              AAPL            87.97000      16185955     861875
   14593    20070312    APPLE INC                              AAPL            89.87000      26099179     861875
   14593    20070313    APPLE INC                              AAPL            88.40000      31029326     861875
   14593    20070314    APPLE INC                              AAPL            90.00000      28456756     861875
